user,tweets
RahyaMaya,Ini benar banget ... Aku setuju dengan isi berita ini ... Lagipula ojek online lebih cepat dan praktis lagi ... #SaveOjekOnline @tigoraja @alvinlie21 @Kesya_Kimberley @deddot05
abeelyaza,"Ini loh salah satu alasan kenapa masyarakat lebih memilih ojol , karena angkot jangkauannya terbatas , jadi @Organda harap memahami ini ya , stop demo2 mulu . #saveojekonline @Paijo_Gemes"
RahyaMaya,Ya semakin cepat dipanggil oleh Menhub @BudiKaryaS semakin bagus ... #SaveOjekOnline @hubdat151 @lambeonlen @DriverGojekPro @DriverPetualang @kemenhub151
RahyaMaya,Aku suka foto ini ... Menyejukkan ... Sudah seharusnya seperti ini ... Tak ada konflik ... Akur dan damai bahkan penuh canda tawa .... #SaveOjekOnline @danarrhadi @ILoSanre @CandoelSlankers @baciritaID @hariadhi
abeelyaza,"Setuju pak @BudiKaryaS ajak mereka berbicara dari hati ke hati , carikan solusinya , supaya tidak ada demo2 lagi #saveojekonline klo kebanyakan demo , yg dirugikan warga  @Kesya_Kimberley"
Indah_GDS,"Kebersamaan yang indah , terasa damai dan sejuk dipandang @MitraGojek1 @GrabJakmania  #saveojekonline @Paijo_Gemes"
Indah_GDS,Pengamat transportasi Dharmaningtyas tidak setuju legalisasi ojek online . Gmn klo menurut bang @elpanjullo  #saveojekonline
abeelyaza,"Wah , kenapa nih pihak Grab nggak mau menanggapi tuntutan drivernya yang minta dukungan regulasi bagi pengemudi ojek online #SaveOjekOnline  @Kesya_Kimberley @GrabJakmania"
abeelyaza,"Memang tidak mudah membuat aturan dan UU , tapi aspirasi driver harus dipikirkan pak @hubdat151 bukan hanya ditampung , mereka juga butuh kejelasanan hukum , biar aman dan nyaaman dalam berkerja . #SaveOjekOnline  @Paijo_Gemes"
andiksujitno,"Sebenarnya bagus juga sih pembatasan kuota , supaya tidak ada pembeludakan taksi online , bisa mengurangi kemacetan juga #Saveojekonline  @Kesya_Kimberley"
andiksujitno,"Ini loh yang diperjuangkan para driver ojek online saat demo kemaren . hanya kejelasan payung hukum , taksi aja sudah jelas payung hukumnya , kenapa ojek nggak ? @hubdat151 #saveojekonline @Paijo_Gemes"
Indah_GDS,Pak @BudiKaryaS ini yg kami takutkan jika ojek online tidak dipayungi hukum . #saveojekonline @Kesya_Kimberley
elpanjullo,"Aye sebagai pelanggan sejati ojek online , aye mendukung para driver ojek online untuk menyampaikan aspirasinya kemarin ... Dah gitu , aye juga mendukung agar ojek online mempunyai regulasi hukum yang jelas biar para drivernya tenang ... #SaveOjekOnline"
AnnisaSeptiayu,Anak -Anak SD pun mendukung perjuangan driver taksi online .... #SaveOjekOnline @DriverGojekPro @GoTotheJek @DriverPetualang @Gojek_Malang_ @gojekindonesia
AnnisaSeptiayu,Jangan cuma aspirasinya saja ditangkap pak Menhub @BudiKaryaS tapi diwjudkan secara nyata .... #SaveOjekOnline @kemenhub151 @hubdat151 @GoTotheJek @DriverGojekPro @DriverPetualang
RahyaMaya,Ini bukti pihak istana open terhadap driver ojek online ... Semoga aspirasi ojek online didengar dan diwujudkan aksi nyata .... #SaveOjekOnline @dudeofrock @ely_susianti @triwul82 @P3nj3l4j4h @Aryprasetyo85 @jokowi
RahyaMaya,Ya aku mendukung langkah Bang @TIGORaja untuk uji materi ke MK terkait regulasi ojek online ... #SaveOjekOnline @alvinlie21 @Darmaningtyas @kemenhub151 @BudiKaryaS
BangDoel1981,"Ojek Online keberadaannya yg seperti anak haram , tidak diakui tapi sangat dibutuhkan #SaveOjekOnline"
kumalasan_dy,Nih apa kata pak @jokowi tentang transportasi online #saveojekonline karena banyak banget manfaatnya @TIGORaja @Paijo_Gemes
kumalasan_dy,"@TIGORaja saya juga mengamini pernyataan abang ,smoga 6 driver yg dipanggil pihak istana ada dipihak para driver ojek online #Saveojekonline  @Kesya_Kimberley"
abeelyaza,"Terharu banget , para driver ojek online diberikan semangat oleh anak2 SD . Semangta om , semangat om #saveojekonline  tolong dengarkan suara hati mereka pak @BudiKaryaS @TIGORaja @Paijo_Gemes"
abeelyaza,"Woow , salut pada driver ojek online , penuh semangat berjalan kaki dari monas menuju kemenhub @hubdat151 mereka menuntut kejelasan payung hukum spt taksol  #Saveojekonline @gojekindonesia @grabid @Uber_IDN"
elpanjullo,Salam Satu Aspal !! Pokoknye aye dukung dah keberadaan ojek online di Indonesia ... #SaveOjekOnline
elpanjullo,Aye sih mendukung ojek online dijadikan alat transportasi massal ... Soalnye aye langganan ojek online .... Lagian kagak ada salahnye kok dijadikan transportasi massal ... #SaveOjekOnline
Indah_GDS,Demo kali ini para driver ojek online menuntut kejelasan payung hukum @hubdat151 #saveojekonline @TIGORaja
AnnisaSeptiayu,Tetap semangat untuk memperjuangkan aspirasinya untuk para driver ojek online ... #SaveOjekOnline @GoTotheJek @DriverPetualang @DriverGojekPro @BangDoel1981
abeelyaza,"Demo itu ga menyelesaikan masalah kale , yg terpenting pelayanan yg harus di perbaiki , klo angkot Tomohon merasa tersaingi , perbaiki armadanya , dan jgn sering2 ngetem  #Saveojekonline @Kesya_Kimberley @infoSULUT"
abang_gemesz,"#Saveojekonline 
Angkot aja di hapus ."
Indah_GDS,#Saveojekonline karena transportasi jaman Now ya ojek online dunk @MitraGojekSala3 @GrabJakmania @Uber_IDN @
Feze46,"Aksi damai ojek online Bandung raya , 16 Oktober 2017

#saveojol #saveojekonline #ojekonline #Gojek #Uber #Grab"
agendurian,"Inilah kelakuan emak2 yg butuh ojek buat anter jemput anak sekolah ,  hahahaha
.
.
.
.
..
#SAVEOJEKONLINE BALIKPAPAN"
yulianurulfatim,Aku terlanjur cinta ... dia ..... #ojekonline #saveojekonline
Trivan27Saragih,"Jika ojek online dihentikan , kemana lagi aku harus mencari penumpang ? #saveojekonline"
ekaayuastrini,kalo bete bawaannya nyinyir #saveojekonline
daengdayat,Patanna oloanga .. Huhh kampudess #SaveOjekOnline
willysinggih,Save ojek online #saveojek #saveojekonline
willysinggih,"Dgn ojekonline saya tdk khawatir plg larut malam , selalu ada armada #saveojekonline @Uber_IDN @gojekindonesia @e100ss"
valerimagdalena,"Tarif jelas , gak pake ngetem , bisa dianter kemana aja gak harus di jalan protokol utama , nyarinya gampang , gak pakai macet . #saveojekonline"
hery15irawan,Opang katro #SaveOjekOnline
Andyqiting,"Dukung ojekonline di Lampung ,  #saveojekonline #saveojekonlinelampung @GrabID @gojekindonesia @grabbike_indo"
Kesya_Kimberley,MERDEKA DI MATA OJEK ONLINE . social eksperiment yg mnarik #saveOjekOnline kata abang ojolnya enakn @gojekindonesia
PutraBadai13,ANGKUTAN DARING : Jangan Larang Gojek di Tegal  #SaveOjekOnline
suarakebebasan2,Rudy Gunawan : Pak Bupati Tolong Izinkan Gojek Beroperasi di Garut - Tandatangani Petisi !  #SaveOjekOnline
nessiakesuma,"#saveojekonline
STOP ORDER FIKTIF 
DI APLIKASI 
OJEK ONLINE"
Ltfzl19,"Saat puasa , menjelang lebaran yg pasti banyak yg butuh duit ,tiba2 mata pencaharian nya di berhentiin gini  #SaveGojekBatam #SaveOjekOnline"
AldiYuvia,Indonesia membutuhkan orang2 yg peduli bukan hanya berhenti membuat kemacetan dan menonton tanpa melakukan aksi berani .. #SaveOjekOnline
satriaeckoe,Ayo dukung transportasi aman dab mudah #saveojekonline
raestu27,Manga In Office : Selamatkan Transportasi Online  #saveojekonline
septinuraini,"penumpang butuh transportasi cepat dan murah , bukan yang bilang langsung jalan taunya  ngetem 1 /2 jam .
#SaveOjekOnline"
resasardiansyah,Mohon diberikan solusi untuk penjembutan penumpang online @TMCPoldaMetro @Restro_Jaksel @infoDISHUB agar semua nyaman & aman #saveojekonline
BillyFunky,Ya Allah knp jadi begini yah #saveojekonline
GrabJakmania,Bogor kembali zona merah Tetap berhati2 dan waspada saudara 1 aspal .. #SaveOjekOnline
GrabJakmania,Memasuki wilayah bogor wajib copot atribut online ! Sudah banyak rekan kita dikeroyok #SaveOjekOnline
ruthaudya,#saveojekonline #savetaxionline jangan sampai yogyakarta berhenti nyaman . Ayo tandatangani petisi ini !
ruthaudya,#saveojekonline #savetaxionline jangan sampai yogyakarta berhenti nyaman . Ayo tandatangani petisi
auaul,"terimakasih bapak gojek ,sgt membantu dikala males masak #saveojekonline  [ <e2><80><94>"
ruthaudya,YES YES YES ABAOLUTELY YES ! #saveojekonline
ruthaudya,#saveojekonline #saveojekonline #saveojekonline #saveojekonline #saveojekonline #saveojekonline . jangan sampai Yogyakarta berhenti nyaman
dionnshakey,"#savetransportasionline #saveojekonline ..
Jangan matikan kreatifitas anak bangsa ,persaingan bisnis itu biasa .. #gojek #gocar #uber #grab"
Bagusheryadi3,Mari rapatkan barisan kita bela kawan rekan sodara seprofesi ..kita juga manusia butuh makan .kita kerja bukan mencuri /rampok #saveojekonline
jeconiahri,"kesel sih kesel , tpi gausah rusuh dong pake nabrak2 segala #SaveOjekOnline"
evaseptiana07,Bang iyus memberi keterangan kasus sopir angkot tabrak druver ojek online #SaveOjekOnline
evaseptiana07,Temanku lagi diwawancarai #SaveOjekOnline
nadruladi16,"Lg ada incident di TNG ,  sopir angkot vs ojek online td jam 17 .40 terlhat video sopir angkot menbrk pengemudi ojek online . 
#saveojekonline"
evaseptiana07,Apapun bentuknya gw tetap dukung ojek online #SaveOjekOnline
amalia_rhea,Kenapa harus saling menyakiti ?bukankah kita saudara ?damai lebih Indah ...#saveojekonline
furqonbsaputro,@GrabID min coba dong di tanggepin masalah yg di tanggerang yg sdg berlangsung #saveojekonline
poocongs,"Hilangkanlah ego anda kepada orang yang anda cintai , atau anda akan kehilangan orang yang anda cintai karena ego anda #SaveGojek"
