'April 16, 2018';'safriansyah spd';'Great';;;;
'April 17, 2018';'goesto wave';'niceeee';;;;
'April 17, 2018';'Zola Brilianti';'Love it';;;;
'April 18, 2018';'Meti Lim';'Good...';;;;
'April 17, 2018';'Yolanda Pradita';'nice';;;;
'April 17, 2018';'adam prabowo';'Good';;;;
'April 17, 2018';'iwa iswara';'Great';;;;
'April 18, 2018';'siti aura';'Good';;;;
'April 18, 2018';'Hendra Febrianto';'Good';;;;
'April 17, 2018';'Sri Yanti';'Good';;;;
'April 7, 2018';'Adrian Padmodihardjo';'1. gofood 2. search, input query 3. get results 4. click on one of the results 5. take a look at the menu 6. click back expectation: get back to my last scroll position, in whichever tab i'm in (restaurant/dishes) reality: it scrolled back to the TOP of RESTAURANT tab great UI. annoying UX.';;;;
'April 13, 2018';'Shachev Etchetera';'STUPID APP CANNOT LOAD AND GOT DOUBLE DRIVER ALL THE TIME!!!!!! I HATE IT WHEN MY GO POINTS CANNOT BE USED TO GET FREE ANY KIND OF FOOD RP50.000 VOUCHER ANYMORE BUT THERE ARE ONLY STUPID VOUCHER OPTIONS IN FAR AWAY PLACES. GIVE ME BACK THAT FOOD VOUCHER!!!!!!!';;;;
'April 5, 2018';'Harshika ..';'Must use app. We used this app in Bali during one of our vacation. Good and friendly Drivers, easy to locate your location, value for money. Few places doesn't allow GoJek for pick-up though, otherwise its very easy and fast source to travel local.';;;;
'April 12, 2018';'Marcella Findy';'I just top up my Go-Pay, trying to order go-car but the Go-pay payment isnt available.. i retry bt 3 times and suddenly it logged out by itself.. trying to relogin but it stuck when sending the verification number.. try another option to put email than mobile number it is just the same.. another opt...;;;;
'April 12, 2018';'Harijanto Soepangkat';'Difficult to order a ride for friends because it purposedly neglect to ask for pickup location. U must fiddle with it for a while, then all of a sudden, it shows the pick up location to enable you to put down the pick up address. I think the app should have an option for ordering ride for other per...;;;;
'April 12, 2018';'Hanny Andrianzi';'In a rush then suddenly getting logged out by itself. But when I tried to log in again, its number code doesnt directly sent to my number, it sent to my number after about 20 minutes, and because I tried to log in many times, I got blocked haha.. do you ever know that time was really a precious thin...;;;;
'April 12, 2018';'Tin Larida-Perez';'I was satisfied with the app despite its glitches but today. My data was suddenly lost and I couldn't log in. I kept on waiting for the verification code to be sent to my number but to no avail. I have just topped up in my gopay account, now I'm not sure whether I'd be able to retrieve it once I've ...;;;;
'April 13, 2018';'heinrich Nathaniel marlaw';'This application really helps me all the time. But then the newer version keeps going error whenever i would like to see my history or order a driver. When i want to order a driver it says error. So i pressed ok and ordered again. And it came out that two drivers came to my spot picking me up. P...;;;;
'April 12, 2018';'priscillia claudia';'What happened? I recently updated my app and suddenly it logged out by itself in the middle of a ride. Next, once i logged in ALL OF MY GOPAY BALANCE IS GONE BACK TO 0. how wll you solve this??';;;;
'April 13, 2018';'Belalai Basah';"'Bug!!! Yesterday is heavy rain and I got slow internet, I ordered ""ONLY ONE"" gojek driver but that arrive 3 driver, I'm confused. And I already double check I don't slippery double order but. As I confirm from other drivers they also got same issue"; but hey don't worry I'm not Stingy about stars...;;;
'April 17, 2018';'H.P. Teguh';"'Before the ""update"", the app knows where I currently am at a given time once I enabled my GPS. Now, it seems that it only assumes where I currently am based on last destination I'm heading or places that I most frequently visit. This is annoying and wasting my and my driver's time'";;;;
'April 8, 2018';'Anju Purba';'So far this apps is good but need more security when doing verifications. Please also use email to do verification, not only mobile number. My account just robbed by people and I cannot inactive it by email. Please consider this proposal.';;;;
'April 11, 2018';'Yabes Tannaya';'reinstalled it, still can't get a damn driver. it was like i'm living in a middle of desert or something. the worst part if, even i finally get a driver, he's too far away and eventually asks me to cancel it. great job, go-jek.';;;;
'April 3, 2018';'Evan Leonardus';'Bakal up to 5stars if you improve the way driver does to customers so so services with pricy. Boleh mahal asal sebanding sama kualitas pelayanan. Sejauh ini, pelayanan yang gw dapet so so banget, 6/10. Untuk UI/UX bisa lah 9/10. Gojek bener2 kurang di mitra doang sih perlu gathering mungkin ya biar ...;;;;
