author;message_short;date;commit;weekday;month;monthday;time;year;message;left_parent;right_parent;n_parents
eppofahmi;Merge branch 'master;2018-05-04T12:55:51Z;260c533;Fri;May;4;12.55.51;2018;Merge branch 'master' of github.com:eppofahmi/virtualCitizens;e8d06d79fa4de94a59fafde33608b1a8c9da94b8;5d046ec52ddb3a992d30b360f59a3b1d41eaeb65;2
eppofahmi;new data sources;2018-05-08T15:44:44Z;8b00d99;Tue;May;8;15.44.44;2018;new data sources;260c5330853d155ad67097ce3613c9472d00c169;NA;1
eppofahmi;new data sources;2018-05-08T15:45:38Z;c7a8c55;Tue;May;8;15.45.38;2018;new data sources;8b00d9932f46772ff0e3b8b29b2096ba45606c5d;NA;1
eppofahmi;new commit;2018-05-08T15:47:55Z;6e45576;Tue;May;8;15.47.55;2018;new commit;c7a8c553928cefd6a6a88cf65bb8ead550d32b07;NA;1
eppofahmi;transpol dalam media;2018-05-16T13:10:06Z;b51ea02;Wed;May;16;13.10.06;2018;transpol dalam media;6e45576519b47c903c48ca67dacaaa44a7b001d4;NA;1
eppofahmi;tolak reklamasi dala;2018-05-16T13:11:49Z;909a878;Wed;May;16;13.11.49;2018;tolak reklamasi dalam media;b51ea029134f16b9b4cebeafab91736e32241516;NA;1
eppofahmi;wrangling;2018-05-17T02:34:45Z;2de62a9;Thu;May;17;02.34.45;2018;wrangling;909a8781c109be194b31862d4a1ac2c9d2bbf368;NA;1
eppofahmi;person tweets;2018-05-17T12:20:54Z;4ff32cb;Thu;May;17;12.20.54;2018;person tweets;2de62a900e968c35ed65a5e4aae04c70c1752cc8;NA;1
eppofahmi;drive download;2018-05-17T12:35:33Z;0e8eab7;Thu;May;17;12.35.33;2018;drive download;4ff32cb21716a4330eb9516cfd739a0913953b39;NA;1
eppofahmi;interpretasi topic m;2018-05-19T02:20:02Z;4cc4c2e;Sat;May;19;02.20.02;2018;interpretasi topic modelling;0e8eab71257869de76a1bf58e67236599d97efbb;NA;1
eppofahmi;media data and finis;2018-05-21T02:51:50Z;af380fc;Mon;May;21;02.51.50;2018;media data and finishing tb report;4cc4c2e82e15bb4d49682fc6b3d4e32f97afb944;NA;1
eppofahmi;1st media exploratio;2018-05-21T17:34:58Z;a559a6c;Mon;May;21;17.34.58;2018;1st media exploration;af380fc26fbb34ab6f5407764f980edbfdce904e;NA;1
eppofahmi;media data wrangling;2018-05-21T18:43:51Z;4ede57f;Mon;May;21;18.43.51;2018;media data wrangling and cleaning;a559a6c0a915bd420219fa1ba1bf5c7ec0e0d863;NA;1
eppofahmi;eksplorasi topic mmo;2018-05-22T02:04:47Z;63482b6;Tue;May;22;02.04.47;2018;eksplorasi topic mmodelling;4ede57fe09645c6e6bad450b2d897218ea85e62e;NA;1
eppofahmi;petisi change;2018-05-22T15:14:17Z;e3cb4ca;Tue;May;22;15.14.17;2018;petisi change;63482b60079c9a86ff872441193202268762498e;NA;1
eppofahmi;net;2018-05-22T15:15:22Z;6341939;Tue;May;22;15.15.22;2018;net;e3cb4cafda1c5b63fe3ea3b793118c074c616812;NA;1
eppofahmi;Celaning komentar di;2018-05-22T17:01:12Z;7c38c58;Tue;May;22;17.01.12;2018;Celaning komentar di petisi;6341939ddedb137b5d0638616296eea75f227df8;NA;1
eppofahmi;just pull;2018-05-24T11:16:42Z;034ad0a;Thu;May;24;11.16.42;2018;just pull;7c38c58009373a5a4733e6c676376455670fa490;NA;1
eppofahmi;iki nggo mba nuri;2018-05-24T11:31:55Z;9b2e544;Thu;May;24;11.31.55;2018;iki nggo mba nuri;034ad0a18ae50f815dbac20055c95a20c1591863;NA;1
eppofahmi;data;2018-05-24T13:26:08Z;df02f78;Thu;May;24;13.26.08;2018;data;9b2e544295bffd0f677ba23280f6ccbbd09c2359;NA;1
eppofahmi;btr dalam media;2018-05-24T13:29:04Z;9096c99;Thu;May;24;13.29.04;2018;btr dalam media;df02f787016dc1c8e92c23a21fae9575d5006402;NA;1
eppofahmi;total words;2018-05-24T14:18:29Z;11c2a52;Thu;May;24;14.18.29;2018;total words;9096c9988701685f6182fa8d2e5164c85122991b;NA;1
eppofahmi;final media cleaning;2018-05-25T03:49:12Z;07e4798;Fri;May;25;03.49.12;2018;final media cleaning;11c2a52478630bdcc6d0aafeb39e26fcab1d562e;NA;1
eppofahmi;fix;2018-05-25T04:17:06Z;f74d108;Fri;May;25;04.17.06;2018;fix;07e4798796232a61611c3d16de1af41dab8ad6db;NA;1
eppofahmi;write to txt;2018-05-25T04:43:22Z;efeeaa8;Fri;May;25;04.43.22;2018;write to txt;f74d108ab3c3db38d3a5510784cc2b4afe80fff6;NA;1
eppofahmi;just gits;2018-05-31T11:46:24Z;6ec5482;Thu;May;31;11.46.24;2018;just gits;efeeaa8376a208af93ff4e4a092e5b10947ff18d;NA;1
eppofahmi;dell pc;2018-05-31T11:50:07Z;22c5317;Thu;May;31;11.50.07;2018;dell pc;0e8eab71257869de76a1bf58e67236599d97efbb;NA;1
eppofahmi;yes just commit;2018-05-31T11:51:55Z;fbe1fc6;Thu;May;31;11.51.55;2018;yes just commit;22c531708aeb49fc270a6bb632425a8e22a404d6;6ec54823f346d3fe6b25c6577d3ff4c84dd7f116;2
eppofahmi;gdrive update;2018-05-31T12:10:54Z;ae739d0;Thu;May;31;12.10.54;2018;gdrive update;6ec54823f346d3fe6b25c6577d3ff4c84dd7f116;NA;1
eppofahmi;Merge branch 'master;2018-05-31T12:14:28Z;6071295;Thu;May;31;12.14.28;2018;Merge branch 'master' of github.com:eppofahmi/virtualCitizens;ae739d08ab1ea4cd38210eff1ecce027a327a0c9;fbe1fc6cc8978c9b31a579570e4a74f88e683ec4;2
eppofahmi;membaca twit berdasa;2018-05-31T12:20:00Z;dffe5d9;Thu;May;31;12.20.00;2018;membaca twit berdasarkan kata kunci;60712954d438256129d140fa2637226ef0c6acc6;NA;1
