date,tweets,periode,person
2014-08-08,Terimakasih bt pemuda2 dr Bali Barat (Negare ) tlh hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad . hati2 di jalan,periode_2,gendovara
2014-08-08,Trims @HMPEFH_UNUD  hadir pd aksi #balitolakreklamasi hari ini .moga makin byk mhs yg bergabung dlm gerakan rakyat #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-08,"Thx BEM UNHI , @Frontier_Bali @PPMIBali hari ini pimpin aksi .Kalian organ mahasiswa progresif #balitolakreklamasi #BatalkanPerpreslimasatuthbjad",periode_2,gendovara
2014-08-07,Trims bt semua kawan2 yg hadir walopun harus tinggalkan pekerjaan demi aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,Terimakasih bt pemuda sanur tolak reklamasi telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,"Trims bt seniman melelawangan barong , guru besar Yankpung telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc",periode_2,gendovara
2014-08-07,Terimakasih @luizvanghigox @NosstressBali @DwixNaskleeng  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,Terimakasih bt musisi seniman @BOBBYBIKUL @JunBintang @novafuxnbumz hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,Terimakasih bt @OsdSouthkuta @OSD_BALI  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,Terimakasih bt @outsider_bukit @OSD_NUSAPENIDA @OSD_KARANGASEM  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,Terimakasih bt Pemuda Sukawati Tolak reklamasi telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad tetap semangat !,periode_2,gendovara
2014-08-07,Terimakasih bt ST . Yowana Satya Dharma br .Bukit Buwung kesiman telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,Terimakasih ST Dharma Kertih br . Kedaton kesiman denpasar telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc,periode_2,gendovara
2014-08-07,Thx STT Panca Dharma br . Tegal buah padangsambian klod tlh hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc @Wock13,periode_2,gendovara
2014-08-07,Terimakasih bt kawan dr Suwung Denpasar  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc @AlcoholicRider,periode_2,gendovara
2014-08-07,Terimakasih bt Jalak Sidakarya n Allpiss Sidakarya telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc,periode_2,gendovara
2014-08-07,Trims STT Dharma Sentana br Anyar Gede kedonganan  hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc @angga_sugama,periode_2,gendovara
2014-08-07,Terimakasih bt Tanjung Benoa Tolak Reklamasi (TBTR )  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,Terimakasih buat Masy Jimbaran tolak reklamasi (MAKAR ) telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-07,Terimakasih bagi FPPB Kedonganan Badung telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc @teguhkings,periode_2,gendovara
2014-08-07,Terimakasih bt DESA ADAT KELAN BADUNG telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
2014-08-04,"Blm tentu .jgn gembira dulu . Ini manuver cuci tangan ""@Deddy_DaSilva : @forbali13 @JRX_SID
#BaliTolakReklamasi",periode_2,gendovara
2014-08-03,Dukungan @kurawa ke gerakan #balitolakreklamasi memberikan energi yg luar biasa . Demikian jg @addiems . Ayo kawan2 kobarkan semangat juangnya,periode_2,gendovara
2014-08-03,"Noted ""@kurawa : Bali .. ada satu lagi budayawan yang support neh catet !!! ~> ""@addiems : Kultwit kurawa soal #BaliTolakReklamasi patut disimak",periode_2,gendovara
2014-08-02,"Hayo jawab tweps . Cc kan ke @SBYudhoyono n @jokowi_do2 ""@menarafmbali : Apa Alasan Kamu Mendukung #BaliTolakReklamasi ? Tulis Disini !""",periode_2,gendovara
2014-08-02,"Cc @SBYudhoyono @Yusrilihza_Mhd ""@WIRAxADI : Karena kami sayang bali . Imbo street custom bike .#BaliTolakReklamasi !",periode_2,gendovara
2014-07-31,@arissperdana mari gerakan #balitolakreklamasi harus bertranformasi menjadi #indonesiaTolak Reklamasi .,periode_2,gendovara
2014-07-27,"Iya pak . Sy anak yg baik :D ""@ERX_BASTARD : Akkhirnya bapak n anak di pertemukan terus tiap aksi #BaliTolakReklamasi",periode_2,gendovara
2014-07-24,"Sebagian aksi2 yg dilakukan di Luar Bali ,ayo siapa menyusul . Lawan kezaliman . #BaliTolakReklamasi Teluk Benoa",periode_2,gendovara
2014-07-20,"Top ""@erickest : Orang jahat tidak Akan menang , karna orang baik Akan terus berdatangan #BaliTolakReklamasi",periode_2,gendovara
2014-07-18,"Jk msh mau dibodohi penguasa , silakan percaya dg propaganda mrk yg sll nuding gerakan #balitolakreklamasi tidak murni sbg perjuangan ekologi",periode_2,gendovara
2014-07-18,"Jk kalian percaya dg hasutan penguasa bhw gerakan #balitolakreklamasi tidak murni memperjuangkan ekologi , itu mmbuat penguasa senang",periode_2,gendovara
2014-07-18,Hanya mereka yg otaknya kospiratif yg percaya gerakan #balitolakreklamasi ditunggangi politik kekuasaan . Mereka cetek !,periode_2,gendovara
2014-07-17,Nonton komunitas perkusi di redaksi trans7 ternyata ada pemainbya yg pake kaos #balitolakreklamasi . Thx yg bro,periode_2,gendovara
2014-07-14,"Eh colek lg @Yusrilihza_Mhd sekalian minta share pendapat hukumnya ubah perpres 45 /2011 ""@xRMBLx : #BaliTolakReklamasi",periode_2,gendovara
2014-07-12,"Nope , just kucing asia ""@Lightning_venus : Latepost , monkey in the middle . @gendovara & @JRX_SID #BaliTolakReklamasi",periode_2,gendovara
2014-12-13,"#bergerak ""@delta_nocil : Saat ini #LampungForBali menyuarakan #BaliTolakReklamasi cc  @JRX_SID @SoundbwoyDodix",periode_3,gendovara
2014-12-02,"""@panji_sudarsa : Iseng -iseng ni bli , dari Mataram , Lombok ;) #BaliTolakReklamasi @JRX_SID @gendovara @ForBALI13",periode_3,gendovara
2014-11-28,"Cc @fajar_arcana ""@AngusBalinese : Bravo & Proud of You Tim Gowes DPS -JKT mission #BaliTolakReklamasi | @jokowi_do2",periode_3,gendovara
2014-11-28,"Cc @walhinasional ""@AngusBalinese : Bravo & Proud of You Tim Gowes DPS -JKT mission #BaliTolakReklamasi |  @jokowi_do2",periode_3,gendovara
2014-10-16,"Cc @jokowi_do2 ""@brianoutsider_n : bojonegoro juga tolak reklamasi
#dari_bjn_untuk_bali #balitolakreklamasi @JRX_SID",periode_3,gendovara
2014-10-14,"""@AngusBalinese : Prestasi @SBYudhoyono adlh Perpreslimasatu /bjad dgn iklan Ronaldo #KopdarCelamitan |  #BaliTolakReklamasi",periode_3,gendovara
